canonical_molecule,phase_from_cummings,cadro_category,mechanism_of_action,nct_ids,lead_sponsor_from_cummings,matched_ctgov_trials_count,matched_sponsors_ctgov,matched_countries_ctgov,nordic_presence,eu_presence
ACP-204,Phase 3,Neurotransmitter Receptors,Selective antagonist/inverse agonist of 5-hydroxytryptamine (serotonin) receptor subtype 2A,,ACADIA Pharmaceuticals Inc.ACADIA Pharmaceuticals Inc.,1,ACADIA Pharmaceuticals Inc.,Brazil|Bulgaria|Chile|Czechia|France|Italy|Mexico|Serbia|South Korea|Spain|Taiwan|United States,FALSE,TRUE
AR1001,Phase 3,Synaptic Plasticity/Neuroprotection,PDE-5 inhibitor; improve synaptic plasticity,,"AriBio Co., Ltd.",1,"AriBio Co., Ltd.",Canada|China|Czechia|Denmark|France|Germany|Italy|Netherlands|Poland|South Korea|Spain|United Kingdom|United States,TRUE,TRUE
Buntanetap,Phase 3,Proteostasis/Proteinopathies,"Inhibits the translation of mRNA of amyloid precursor protein (APP), tau, α-synuclein, and other neurotoxic proteins",,Annovis Bio Inc.,0,,,FALSE,FALSE
Dextromethorphan + Bupropion,Phase 3,Neurotransmitter Receptors,NMDA receptor antagonist; combination of dextromethorphan and bupropion,,"Axsome Therapeutics, Inc.Axsome Therapeutics, Inc.Axsome Therapeutics, Inc.",0,,,FALSE,FALSE
Dextromethorphan + Quinidine,Phase 3,Neurotransmitter Receptors,Sigma 1 receptor agonist; NMDA receptor antagonist,,"Otsuka Pharmaceutical Development & Commercialization, Inc.Otsuka Pharmaceutical Development & Commercialization, Inc.Otsuka Pharmaceutical Development & Commercialization, Inc.",0,,,FALSE,FALSE
Donanemab,Phase 3,Amyloid beta,Monoclonal antibody specific for pyroglutamate form of Aβ,,Eli Lilly and CompanyEli Lilly and CompanyEli Lilly and CompanyEli Lilly and Company,5,Banner Health|Eli Lilly and Company|National Institute on Aging (NIA)|Universidad de Antioquia,Argentina|Australia|Canada|China|Colombia|Czechia|Japan|Netherlands|Poland|Puerto Rico|South Korea|Spain|Taiwan|United Kingdom|United States,FALSE,TRUE
Donepezil,Phase 3,Neurotransmitter Receptors,Acetylcholinesterase inhibitor,,Assistance Publique - Hôpitaux de Paris,4,"Assistance Publique - Hôpitaux de Paris|Duke University|France Alzheimer|National Institute on Aging (NIA)|Shanghai Jiao Tong University School of Medicine|Wanbangde Pharmaceutical Group Co., LTD",France|United States,FALSE,TRUE
E2814,Phase 3,Tau,Anti-tau monoclonal antibody,,Washington University School of Medicine,3,"Accelerating Medicines Partnership (AMP)|Alzheimer's Association|Avid Radiopharmaceuticals|Eisai Inc.|Eli Lilly and Company|Hoffmann-La Roche|Janssen, LP|National Institute on Aging (NIA)|Washington University School of Medicine",Argentina|Australia|Brazil|Canada|Colombia|France|Germany|Ireland|Italy|Japan|Mexico|Netherlands|Puerto Rico|Spain|United Kingdom|United States,FALSE,TRUE
E2814 + Lecanemab,Phase 3,Multi-target,Anti-tau monoclonal antibody plus anti-amyloid monoclonal antibody,,Washington University School of Medicine,0,,,FALSE,FALSE
Escitalopram,Phase 3,Neurotransmitter Receptors,Selective serotonin reuptake inhibitor,,JHSPH Center for Clinical Trials,1,JHSPH Center for Clinical Trials|National Institute on Aging (NIA),Canada|United States,FALSE,FALSE
Gantenerumab,Phase 3,Amyloid beta,Monoclonal antibody directed at Aβ plaques and oligomers,,Washington University School of MedicineWashington University School of Medicine,1,"Accelerating Medicines Partnership (AMP)|Alzheimer's Association|Avid Radiopharmaceuticals|Eisai Inc.|Eli Lilly and Company|Hoffmann-La Roche|Janssen, LP|National Institute on Aging (NIA)|Washington University School of Medicine",Argentina|Australia|Brazil|Canada|Colombia|France|Germany|Ireland|Italy|Japan|Netherlands|Puerto Rico|Spain|United Kingdom|United States,FALSE,TRUE
Gonadorelin,Phase 3,Growth Factors and Hormones,Anti-aging effects,,Nelly Pitteloud,0,,,FALSE,FALSE
Guanfacine,Phase 3,Neurotransmitter Receptors,Alpha-2 adrenergic agonist,,Imperial College London,1,Imperial College London,United Kingdom,FALSE,FALSE
Lecanemab,Phase 3,Amyloid beta,Anti-amyloid monoclonal antibody,,Washington University School of MedicineEisai Inc.Eisai Inc.Washington University School of Medicine,8,"Accelerating Medicines Partnership (AMP)|Alzheimer's Association|Alzheimer's Clinical Trials Consortium|Avid Radiopharmaceuticals|Biogen|Bristol-Myers Squibb|Eisai Inc.|Eli Lilly and Company|Hoffmann-La Roche|Janssen, LP|National Institute on Aging (NIA)|Neurology Office of South Florida|Washington University School of Medicine|Zhejiang Provincial People's Hospital",Argentina|Australia|Brazil|Canada|China|Colombia|France|Germany|Ireland|Italy|Japan|Mexico|Netherlands|Puerto Rico|Russia|Singapore|South Korea|Spain|Sweden|United Kingdom|United States,TRUE,TRUE
Masitinib,Phase 3,Inflammation,Tyrosine kinase inhibitor,,AB Science,1,AB Science,France|Spain,FALSE,TRUE
Masupirdine,Phase 3,Neurotransmitter Receptors,5-HT6 antagonist,,Suven Life Sciences Limited,1,Suven Life Sciences Limited,Croatia|Poland|Serbia|United States,FALSE,TRUE
Metformin,Phase 3,Metabolism and Bioenergetics,Insulin sensitizer to improve CNS glucose metabolism,,Columbia University,0,,,FALSE,FALSE
Nabilone,Phase 3,Neurotransmitter Receptors,Synthetic cannabinoid,,Sunnybrook Health Sciences Centre,1,Alzheimer's Drug Discovery Foundation|Sunnybrook Health Sciences Centre,Canada,FALSE,FALSE
Nilotinib,Phase 3,Proteostasis/Proteinopathies,Tyrosine kinase inhibitor; autophagy enhancer; promotes clearance of Aβ and tau,,"KeifeRx, LLC",0,,,FALSE,FALSE
